Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
The Assistant,70%  6.4 (23k),Drama,1h 27min,12,Kitty Green,(2020),", Julia Garner, Matthew Macfadyen, Makenzie Leigh, Kristine Froseth, Jonny Orsini, Noah Robbins, Alexander Chaplin, Jay O. Sanders, Juliana Canfield, Dagmara Domińczyk, Bregje Heinen, Clara Wong, Purva Bedi, Patrick Breen, Migs Govea, Daoud Heidami, Owen Holland, Tony Torn, Genny Lis Padilla, James Gray, Sophie Knapp, Hunter Hojnowski, Andrew Hsu, Ray Sheen, Chester Wai, Liz Wisan, Fang Du, Cherie Mendez, Kirit Karpadia, Karen Stewart, Bray Poor, Lou Martini Jr., Rafael Sardina, Jenna O'Gara, Stéphanye Dussud, Heather MacCrae, Cynthias Bastidas, Manu Narayan, Mark Jacoby, Patrick Wilson, Nemuna Ceesay"
Ana,79%  8.0,"Drama, Comedia, Documental",1h 45min,,María Mondragón,(2020),
The Pickup Game,74%  7.1 (2k),Documental,1h 36min,,"Barnaby O'Connor ,  Matthew O'Connor",(2020),
The Wolf Hour,59%  4.9 (3k),"Misterio & Suspense, Drama",1h 39min,12,Alistair Banks Griffin,(2019),", Naomi Watts, Emory Cohen, Jennifer Ehle, Kelvin Harrison Jr., Jeremy Bobb, Brennan Brown, Justin Clarke, Maritza Veer, Ohene Cornelius, Angel Christian Roman, Richard Bird, Sean Pilz, John Palacio"
The Weekend,38%  6.9,"Comedia, Romance",1h 28min,,Brian Avers,(2013),
Citizen Soldier,64%  5.8,"Acción & Aventura, Documental, Guerra",1h 45min,,"Christian Tureaud ,  David Salzberg",(2016),", Jordian Alex, James Tyler Brown, Jared Colson, Colt Floyd, Eran Harrill, Nathan Kruse, Raymond Viel, Erik Wolff, Martin Byrne, Justin Smith"
Danger Close,54%  4.4,"Documental, Acción & Aventura, Historia, Guerra",1h 30min,,"David Salzberg ,  Christian Tureaud",(2017),", Wendy R. Anderson, Aaron Brandenburg, Nancy M. Pirelli, Robert Ryan Pirelli, Shawn E. Pirelli, Stacey L. Pirelli, Alex Quade"
The Cured,63%  5.6 (8k),"Terror, Drama, Ciencia ficción, Misterio & Suspense, Europeas",1h 35min,,David Freyne,(2018),", Elliot Page, Sam Keeley, Tom Vaughan-Lawlor, Stuart Graham, Paula Malcomson, Lesley Conroy, Natalia Kostrzewa, Hilda Fay, Barry McGovern, Peter Campion, Oscar Nolan, Chelsea Debo, Frank Cannon, Amy De Bhrún, Tadhg Devery"
Wild Nights With Emily,67%  6.2 (1k),"Comedia, Historia",1h 24min,,Madeleine Olnek,(2022),", Molly Shannon, Susan Ziegler, Amy Seimetz, Brett Gelman, Jackie Monahan, Kevin Seal, Dana Melanie, Sasha Frolova, Lisa Haas, Stella Chestnut, Guinevere Turner, Michael Churven, Robert McCaskill, Lauren Modiano, Al Sutton, John Peña Griswold, Allison Lane, Margot Kistler, Cynthia Kaplan, Charles Rogers, Derrick T. Tuggle, Cole Escola, Celeste Pechous, Joel Michaely, Rae C. Wright, Katherine Willard, Nick Fisher, Nolan Chestnut, Christian Izziary, David Albiero, Betsy Farrell, Barbara J. Davy, Casper Andreas, Morna Ryan, Matthew R. Ossenfort, Ron Lynch, David Meyers, Stacey Alyse Cohen, Brittini Schreiber, Kathleen Wilce, Melissa Barton Ryan, Pan Ferguson, Elaine Carberry, Anna LaRoche, Alanna Strong, Alina Cherednychenko, Caitlin Rodstein, Linda Vega, Rowann Gilman, Samantha Pascale, Sofia Seneca, Freia M. Titland, Kathleen Tawney, Carolina Parra Moreno, Holly Battaglia, Nathalie Baer Chan, Jo-Ann Victor, Camelia Cassin, Kasey Roren, Julia Drahos, Stefanie Sparks, Katie Contini, Betsy Winslow, Carmen Cooper, Katrina Mattson, Bailie de Lacy, Annie Pisapia, Austin Kase"
Buffaloed,72%  6.2 (6k),"Drama, Comedia",1h 35min,16,Tanya Wexler,(2020),", Zoey Deutch, Judy Greer, Jermaine Fowler, Jai Courtney, Noah Reid, Lusia Strus, Lorrie Odom, Raymond Ablack, Nicholas Carella, Paulyne Wei, James M. Connor, Brian Sacca, Kate Moyer, Jayne Eastwood, Alex Harrouch, Alex Karzis, Barbara Gordon, Bill Lake, Carolyn Scott, David Tompa, Dylan Worth, Illarion Michaels, Jackie English, Jamillah Ross, Jennifer Farrugia, Jim McAleese, Jonathan Langdon, Julian Lewis, Karl Ang, Kevin Mohabir, Kris Siddiqi, Luke Marty, Malube Uhindu-Gingala, Nicole Williams, Ray Kahnert, Ryan Turner, Tammie Sutherland, Ted Ludzik, Terry V. Hart, Elena Khan, Adrian Griffin"
