Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
William the Conqueror,39%  6.1,"Historia, Documental, Drama",54min,,,(2013),", Dan Bronchinson, Benjamin Hubert, Antoine Lelandais, Nicolas Marié"
Titus Andronicus,83%  7.8,"Drama, Terror",2h 48min,,Jane Howell,(1985),", Trevor Peacock, Eileen Atkins, Anna Calder-Marshall, Brian Protheroe, Edward Hardwicke, Gavin Richards, Hugh Quarshie, Neil McCaul, Michael Crompton, Nicholas Gecks, Crispin Redman, Paul Davies Prowles, Walter Brown, Tom Hunsinger, Michael Packer, Derek Fuke, John Benfield, Paul Kelly, Deddie Davies, Tim Potter"
Thunder Run on Baghdad,34%,,1h 57min,,Jean-Pierre Krief,(2013),
The Road to Fame,40%  7.3,"Música, Documental, Europeas",1h 20min,,Hao Wu,(2013),
The Night Before Christmas,39%,Animación,8min,,Wilfred Jackson,(1933),", Donald Novis, Kenny Baker"
The Natural History of the Chicken,72%  7.0,"Documental, Comedia",55min,,Mark Lewis,(2000),
The Milky Way,79%  7.7,"Documental, Familia, Europeas",1h 33min,,Jon Fitzgerald,(2016),", Minnie Driver, Rachel Luttrell, Alanis Morissette, Carrie-Anne Moss"
The Little Match Girl,39%,"Drama, Fantasía",32min,,"Jean Renoir ,  Jean Tédesco",(1928),", Catherine Hessling, Eric Barclay, Jean Storm, Manuel Raaby, Amy Wells, Guy Ferrant, Mme. Heuschling, Comtesse Tolstoi"
The Jupiter Enigma,85%  6.9,Documental,45min,,Thomas Lucas,(2018),
The End of the World,4%,"Ciencia ficción, Drama, Romance",5min,,Nick P. Smith,(2014),", Kelsey Formost, Nick P. Smith, Ian McQuown, Jon Eidson, Evan Todd"
The Bigamist,74%  6.8 (4k),Drama,1h 20min,,Ida Lupino,(1953),", Joan Fontaine, Ida Lupino, Edmund Gwenn, Edmond O'Brien, Kenneth Tobey, Jane Darwell, Peggy Maley, Lillian Fontaine, Matt Dennis, John Maxwell, Bess Flowers, Walter Bacon, Ralph Brooks, Jack Chefe, Kem Dibbs, Ken Drake, Jerry Hausner, Donald Kerr, Mike Lally, Monty O'Grady, James Todd, Mack Williams, Collier Young, James Young"
The Big Sleep,64%  5.7 (5k),"Drama, Misterio & Suspense, Crimen",1h 40min,,Michael Winner,(1978),", Robert Mitchum, Sarah Miles, Richard Boone, Candy Clark, Joan Collins, Edward Fox, John Mills, James Stewart, Oliver Reed, Harry Andrews, Colin Blakely, Richard Todd, Diana Quick, James Donald, John Justin, Simon Fisher-Turner, Martin Potter, David Savile, Dudley Sutton, Don Henderson, Nik Forster, Joe Ritchie, Patrick Durkin, Derek Deadman, Judy Buxton, Clifford Earl, Roy Evans, Pat Gorman, Walter Henry, David Jackson, Anthony Lang, Mike Lewin, Brian Miller, David Millett, Norman Mitchell, Barry Purchese, Michael Segal, John Tatham, Cy Town"
Target for Tonight,65%  6.3,"Documental, Drama, Guerra",48min,,Harry Watt,(1941),", Percy Charles Pickard"
Spiral,59%  4.4,Misterio & Suspense,2h 0min,,,(2018),", Michael Vlamis"
Snowden,79%  7.3 (154k),"Drama, Misterio & Suspense, Crimen",2h 14min,7,Oliver Stone,(2016),", Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo, Zachary Quinto, Tom Wilkinson, Scott Eastwood, Timothy Olyphant, Ben Schnetzer, Lakeith Stanfield, Rhys Ifans, Nicolas Cage, Joely Richardson, Jaymes Butler, Robert Firth, Ben Chaplin, Bhasker Patel, Edward Snowden, Christy Meyer, Gregory Schwabe, Patrick Joseph Byrnes, Jamie Hodge, Mathangi Ray, Alan Rusbridger, Stephanie Simbeck, Logan Marshall-Green, Demetri Goritsas, Rachel Handshaw, Christian Contreras, Parker Sawyers, Michael Benz, Ken Thomas, Nicholas Rowe, Erol Sander, Anatoly Kucherena, Eric Kofi Abrefa, Stanley I. Walker Jr., Olga Koda, Alexandra Adomaitis, Andreas Dubois, Barack Obama, Osama bin Laden, Hugo Chávez, Hillary Clinton, Sarah Harrison, John Kerry, Michelle Obama, Vladimir Putin, Donald Trump, Al Sotto"
Shor Se Shuruaat,62%  6.6,Drama,2h 5min,,Amira Bhargava,(2016),", Sanjay Mishra, Rasika Dugal, Atul Kulkarni, Suchitra Pillai, Sakshi Tanwar, Vijay Maurya, Saurabh Goyal, Suyash Joshi, Omkar Kulkarni"
Rise of the Great White Shark,54%,,49min,,Andy Casagrande,(2017),
Oliver Twist,74%  6.8 (33k),"Crimen, Drama, Familia, Europeas",2h 10min,,Roman Polanski,(2005),", Barney Clark, Ben Kingsley, Jamie Foreman, Harry Eden, Edward Hardwicke, Leanne Rowe, Ian McNeice, Chris Overton, Andy Linden, Teresa Churcher, Jake Curran, Turbo, Lewis Chase, Levi Hayes, Jeremy Swift, Gillian Hanna, Michael Heath, Patrick Godfrey, Mark Strong, Ophelia Lovibond, Liz Smith, Andy de la Tour, Richard Durden, Peter Copley, John Nettleton, Tony Noble, Gerard Horan, Morgane Polanski, Alun Armstrong, Frances Cuka, Paul Brooke, Nick Stringer, Frank Mills, Richard Ridings"
Make Believe,71%  7.0,"Documental, Familia",1h 28min,,J. Clay Tweel,(2011),", Ed Alonzo, Kyle Eschen"
Life with Murder,73%  6.8,Documental,1h 35min,,John Kastner,(2010),
Joan of Arc,64%  5.9,"Drama, Historia, Guerra, Europeas",2h 17min,,Bruno Dumont,(2020),", Lise Leplat Prudhomme, Fabrice Luchini, Jean-François Causeret, Annick Lavieville, Daniel Dienne, Robert Hanicotte, Justine Herbez, Yves Habert, Benoît Robail, Alain Desjacques, Serge Holvoet, Julien Manier, Christophe, Jérôme Brimeux, Benjamin Demassieux, Laurent Darras, Marc Parmentier"
How China Got Rich,34%,Documental,59min,,Rebecca Dobbs,(2019),", Michael Wood"
Hotel Coolgardie,77%  6.9,Documental,1h 24min,,Pete Gleeson,(2016),
Griefwalker,40%  7.0,Documental,1h 10min,,,(2008),
Girls In Chains,49%  4.6,"Drama, Romance, Crimen, Música",1h 15min,,Edgar G. Ulmer,(1943),", Arline Judge, Roger Clark, Robin Raymond, Barbara Pepper, Dorothy Burgess, Clancy Cooper, Jack Randall, Patricia Knox, Sid Melton, Russell Gaige, Emmett Lynn, Richard Clarke, Betty Blythe, Bess Flowers"
Generation Wealth,72%  6.7 (5k),Documental,1h 50min,,Lauren Greenfield,(2018),", Bret Easton Ellis, Kim Kardashian, Kylie Jenner, Lauren Greenfield, Eden Wood, Jaqueline Siegel, Tiffany Masters"
Death of a Child,71%  6.4,"Documental, Europeas",1h 20min,,"Frida Barkfors ,  Lasse Barkfors",(2017),
City of Ghosts,77%  7.4 (3k),"Guerra, Documental",1h 30min,,Matthew Heineman,(2017),", Abu Bakr Al-Baghdadi, Hamoud, Hassan, Hussam, Naji Jerf"
Camelot,70%  6.5 (6k),"Música, Romance, Acción & Aventura, Drama, Fantasía, Comedia",2h 59min,18,Joshua Logan,(1967),", Richard Harris, Vanessa Redgrave, Franco Nero, David Hemmings, Lionel Jeffries, Laurence Naismith, Pierre Olaf, Estelle Winwood, Anthony Rogers, Peter Bromilow, Sue Casey, Gary Marsh, Nicolas Beauvy, Fredric Abbott, Robert B. Shepard"
Author The JT LeRoy Story,73%  7.1 (1k),Documental,1h 50min,,Jeff Feuerzeig,(2016),", Laura Albert, Bruce Benderson, Panio Gianopoulos, Winona Ryder, Ira Silverberg, Savannah Knoop, Courtney Love, Dennis Cooper"
Appointment in Tokyo,66%  6.6,"Documental, Guerra",56min,,Jack Hively,(1945),", Douglas MacArthur, Chester W. Nimitz, James Craig, George C. Kenney"
A Promise to My Father,48%  8.9,Documental,55min,,Tim Gray,(2013),", Israel Arbeiter"
A Christmas in Royal Fashion,61%  5.3,"Drama, Romance",1h 30min,,Fred Olen Ray,(2018),", Cindy Busby, Diarmaid Murtagh, Michael Paré, Adam Levy, Galyn Görg, Meredith Thomas, Jason Cook, Juliana Sada, Ellie Ricker, Gina Hiraizumi, Robert Fleet, Sandra Berns Francis, Mallory Edens, Anna Albrekht, Lotti Pharriss Knowles, Patrick Falvey"
Robinson Crusoe,62%  5.3 (6k),"Animación, Comedia, Familia, Europeas",1h 45min,APTA,Vincent Kesteloot,(2016),", Ilka Bessin, Dieter Hallervorden, Matthias Schweighöfer, Aylin Tezel, Kaya Yanar, Ron Allen, Tommy Morgenstern, Melanie Hinze, Bert Franzke, Tobias Lelle"
Marketing the Messiah,37%  6.6,Documental,1h 43min,,Cameron Reilly,(2020),", Michael Bird"
Red Sea,36%  6.3,"Documental, Europeas",45min,,Timo Joh. Mayer,(2016),
One Child Nation,80%  7.5 (6k),"Documental, Historia",1h 25min,,"Zhang Jialing ,  Nanfu Wang",(2019),", Nanfu Wang, Jiaoming Pang, Brian Stuy, Longlan Stuy"
Favourite Nursery Rhymes,4%,"Familia, Fantasía, Animación",33min,,Jon Bourdillon,(2014),
Sawaal,47%  8.4,"Drama, Familia, Romance",2h 9min,,Ramesh Talwar,(1982),", Sanjeev Kumar, Waheeda Rehman, Shashi Kapoor, Poonam Dhillon, Randhir Kapoor, Swaroop Sampat, Prem Chopra, Helen, Avtar Gill, Vikas Anand, Kamal Kapoor, Manmohan Krishna, Mac Mohan, Padma Khanna, Madan Puri"
Seeing the Beginning of Time,41%  7.4,Documental,47min,,,(2017),
Is This A Joke?,59%  5.0,"Comedia, Drama",19min,,Tom Edmunds,(2011),", Russell Tovey, Olivia Hallinan, Mark Heap, Jarred Christmas, Nick Ashdon, Celia Carron, Oliver Chris"
Incarnation,43%  3.0 (2k),"Terror, Misterio & Suspense",2h 8min,,Isaac Walsh,(2022),", Taye Diggs, Jessica Uberuaga, Michael Madsen, Rich Paul"
The Adventures Of Tartu,71%  7.0 (1k),"Guerra, Romance, Drama, Misterio & Suspense",1h 31min,,Harold S. Bucquet,(1943),", Robert Donat, Valerie Hobson, Walter Rilla, Glynis Johns, Phyllis Morris, Martin Miller, Anthony Eustrel, Percy Walsh"
Summer School,67%  4.6,"Terror, Romance, Drama, Música",1h 29min,,"Lance Hendrickson ,  Troy McCall ,  Mike P. Nelson ,  Steven Rhoden ,  Ben Trandem",(2006),", Simon Wallace, Amy Cocchiarella, Tony D. Czech, Lance Hendrickson, Ty Richardson, Jennifer Prettyman"
Huk,61%  5.8,"Acción & Aventura, Drama, Romance, Guerra",1h 24min,,John Barnwell,(1956),", George Montgomery, Mona Freeman, John Baer, James Bell, Teddy Benavidez, Mario Barri, Ben Perez"
The Dread,68%  7.0,Documental,1h 7min,,Pablo Aparo,(2017),
Underground,86%  8.1 (59k),"Guerra, Comedia, Drama, Fantasía, Europeas",2h 50min,13,Emir Kusturica,(1995),", Miki Manojlović, Lazar Ristovski, Mirjana Joković, Slavko Štimac, Ernst Stötzner, Srđan Todorović, Mirjana Karanović, Milena Pavlović, Danilo ""Bata"" Stojković, Borivoje Todorović, Davor Dujmović, Nele Karajlic, Branislav Lečić, Dragoslav ""Dragan"" Nikolić, Erol Kadić, Predrag Zagorac, Hark Bohm, Petar Kralj, Branko Cvejić, Josif Tatić, Zdena Hurtocakova, Albena Stavreva, Elizabeta Đorevska, Peter Mountain, Mirsad Tuka, Batica Nikalić, Zoran Miljković, Rick Dano, Radovan Marković, Ljiljana Jovanović, Anja Popović, Emir Kusturica"
Pipeline,39%  2.7,Terror,1h 25min,,Emily Aguilar,(2021),", Ashley Ballard, Yvonne Bowser-Caballero, Elizabeth Cascarelli, Jason Alan Cook, Marc Goodman, Cristian Linares, Desiree Martin, Madeleine Murphy, Keaton Ray, Shannon Scully, Ashna Sharan, Justin Sisk"
Strega,54%,Ciencia ficción,1h 25min,,Bueno,(2019),", Bueno, Mai Miori, Alice Shiina, Sakurako Fujiwara, Hideki Oka, Haruna Ayane, Keisaku Kimura"
Massacre,4%,Drama,27min,,Maïté Sonnet,(2020),", Lila Gueneau, Mahogany-Elfie Elis"
Gasoline Alley,40%  7.1,"Comedia, Música, Romance",1h 16min,,Edward Bernds,(1951),", Scotty Beckett, Jimmy Lydon, Susan Morrow, Don Beddoe, Patti Brady, Dick Wessel, Gus Schilling, Byron Foulger, Charles Halton, Murray Alper, Virginia Toland, Kay Christopher, Madelon Baker, Jimmy Lloyd, William Forrest, Ralph Peters, Charles Halton, Charles Williams, Christine McIntyre, Leah Baird, Rodney Bell, Oscar Blank, Noble Chissell, Helen Dickson, Sam Finn, William E. Green, Robert Haines, Michael Jeffers, Walter Lawrence, Lee Morgan, Frank O'Connor, Fred F. Sears, Emil Sitka, Ted Stanhope, Brick Sullivan, Charles Sullivan, Harry Tyler, Ann Tyrrell, Sunny Vickers, Ralph Volkie, Lawrence A. Williams"
A Social Cure,43%  7.8,Documental,1h 36min,,Meissa Hampton,(2018),
Some Kind of a Nut,44%  4.3,Comedia,1h 29min,,Garson Kanin,(1970),", Dick Van Dyke, Angie Dickinson, Rosemary Forsyth, Zohra Lampert, Elliott Reid, Steve Roland, Dennis King, Peter Turgeon, Pippa Scott, Heywood Hale Broun, Peter Brocco, Benny Baker, Robert Ito, David Doyle, Carole Shelley, Howard Hesseman, Jennifer O'Neill, Desiree Paterson, Melba Moore, Nancy Wickwire, Tanya Lemani George, Millie Slavin, Alex Stevens, Beverly Todd"
Konga,57%  6.3,"Terror, Fantasía, Comedia, Drama, Acción & Aventura, Ciencia ficción, Misterio & Suspense",1h 30min,,John Lemont,(1961),", Michael Gough, Margo Johns, Jess Conrad, Claire Gordon, Austin Trevor, Jack Watson, George Pastell, Vanda Godsell, Stanley Morgan, Grace Arnold, Leonard Sachs, Nicholas Bennett, Kim Tracy, Rupert Osborne, Steven Berkoff"
The Witch of Kings Cross,68%  6.4,Documental,1h 18min,16,Sonia Bible,(2021),", Damien Grima, Karlee Misipeka, Lukas Rose, Kate Laxton, Romeo Angelo Recupido, Graham Yates"
Lust,45%,Romance,15min,,Jacques Demy,(1962),", Jean-Louis Trintignant, Laurent Terzieff, Micheline Presle, Jean Dessailly, Corinne Marchand"
Writing Kim,42%  6.5,"Drama, Comedia",1h 18min,,"Alison Ward ,  Luvia Petersen",(2020),", Destee Klyne, Jett Klyne, Alison Ward, Steve Johnston, Thomas Nicholson"
Murder in the Cove,53%  5.8,Documental,52min,12,,(2020),
Otra forma de entender la vida,71%  7.0,"Documental, Deporte",1h 9min,16,Javier Jiménez Vaquerizo,(2021),
Bad Hombres,31%  6.6,"Documental, Acción & Aventura, Comedia, Crimen, Misterio & Suspense",1h 41min,,,(2020),
In My Mind,79%  7.2,Documental,1h 19min,,Chris Rodley,(2017),", Patrick McGoohan, Catherine McGoohan, Chris Rodley, Lew Grade, David Tomblin, Lewis Greifer"
Koch Brothers Exposed,71%  6.5,Documental,55min,,Robert Greenwald,(2012),", Van Jones, Bill McKibben, Jim Hightower, Katrina vanden Heuvel, Bernie Sanders"
Reel Injun,78%  7.5 (1k),"Documental, Western",1h 26min,,"Neil Diamond ,  Jeremiah Hayes ,  Catherine Bainbridge",(2010),", Adam Beach, Charlie Hill, Chris Eyre, Clint Eastwood, Graham Greene, Jim Jarmusch, John Trudell, Norman Cohn, Robbie Robertson, Russell Means, Sacheen Littlefeather, Tim Spotted Horse, Wes Studi, Zacharias Kunuk, Iron Eyes Cody, Liv Ullmann, Marlon Brando, Martin Luther King Jr., Roger Moore"
Now Is the Time,43%  7.8,Documental,16min,,Christopher Auchter,(2019),", Robert Davidson, Reg Davidson, Barbara Wilson"
High Wire,4%,,28min,16,Sandi Sissel,(1984),", Philippe Petit"
TikTok,27%,Documental,43min,12,Avani Dias,(2021),
The People of the Kattawapiskak River,40%  7.2,Documental,50min,,Alanis Obomsawin,(2012),
Willow,80%  7.2 (124k),"Fantasía, Acción & Aventura, Romance, Drama",2h 6min,,Scott Stark,(1988),
Nona,60%  5.7,Drama,1h 31min,,Michael Polish,(2017),", Kate Bosworth, Sulem Calderon, Jesy McKinney, Diana Cabuto, Jasper Polish, Giancarlo Ruiz"
Shark Gangs,78%  6.7,Documental,44min,,"Jacob Cobi Benattia ,  Peter Berg ,  James Buchanan",(2021),
Us Again,34%  6.0,"Romance, Drama",2h 3min,,Joy Aquino,(2020),", Jane Oineza, RK Bagatsing, Sarah Edwards, Jin Macapagal, Eda Nolan, Miko Gallardo, John Matthew Uy, Star Orjaliza, Phiona Raymundo, Julia Chua, Veronica Reyes, Clara Del Rosario"
Star Wars Biomes,37%,Ciencia ficción,18min,,,(2021),
Burrow,44%,Comedia,6min,,Madeline Sharafian,(2020),
Arendelle Castle Yule Log,57%  7.2,"Drama, Animación",3h 0min,,,(2021),
The Real Right Stuff,73%  7.2,"Historia, Documental",1h 30min,,Tom Jennings,(2020),", Tom Wolfe, John Glenn, Frank McGee, Ralph Renick, Virgil Gus Grissom, Walter Cronkite, John F. Kennedy, Alan Shepard, Rene Carpenter"
Trick or Treat,41%,Animación,8min,,Jack Hannah,(1952),", Clarence Nash, June Foray, Thurl Ravenscroft"
Artemis Fowl,56%  4.2 (26k),"Fantasía, Ciencia ficción, Acción & Aventura, Familia",1h 34min,12,Kenneth Branagh,(2020),", Ferdia Shaw, Colin Farrell, Lara McDonnell, Josh Gad, Tamara Smart, Nonso Anozie, Joshua McGuire, Judi Dench, Nikesh Patel, Adrian Scarborough, Michael Rouse, Racheal Ofori, Simone Kirby, Finian Duff Lennon, Grace Fincham, Toby Eden, Gerard Horan, Emily Brockmann, Jessica Rhodes, Charlie Cameron, Susannah Hewlett, Eleanor de Rohan, Rachel Denning, Ben Goffe, Emma Lau, Conor MacNeill, Arian Nik, Michael Abubakar, Chi-Lin Nim, Lewy Xing, Matt Jessup, Molly Harris, Sally Messham, Jake Davies, Grace Molony, Catherine Palmieri, William Moseley, India Lewis, Hamish McColl, Salome Cosgrove, Adam Basil, Taylor James, Michael Peluso, Harry Lister Smith, Ayesha Antoine, Jimmy Yuill, Gavin Esler, Hong Chau, Miranda Raison, Laurence Kinlan, Jean-Paul Ly, Bernardo Santos, Max Robson, Sofia Abbasi, Henrihs Ahmadejevs, Colin Blyth, Susanne Brown, Leon Corbin, Jordan Dumaurier, Daniel Eghan, Helen Iesha Goldthorpe, Mark Gooden, Ruth Horrocks, Lee Edward Jones, Giuseppe Lentini, Nate Leung, Antonio Mancino, Katarina Martin, Bradley Wj Miller, Emily Ng, Peter Pedrero, Clay Pel-is, Diana Alexandra Pocol, Richard Price, Sid Sagar, Atul Sharma, Teresa Shaughnessy, Fran Targ, Alisha Tarran, Bao Tieu, Matt Townsend, Elena Valdameri, Crystal Wingx"
Mickey and the Seal,40%,"Comedia, Familia, Animación",7min,,Charles A. Nichols,(1948),", James MacDonald, Pinto Colvig"
How to Play Baseball,40%,Animación,8min,,Jack Kinney,(1942),", George Johnson, Fred Shields"
All in a Nutshell,40%,Animación,7min,,Jack Hannah,(1949),", Clarence Nash, James MacDonald, Dessie Flynn"
Double Dribble,37%,Animación,7min,,Jack Hannah,(1946),", Pinto Colvig"
Dragon Around,40%,"Animación, Familia",7min,,Jack Hannah,(1954),", Clarence Nash, Dessie Flynn, James MacDonald"
Out of Scale,42%,Animación,7min,,Jack Hannah,(1951),", Clarence Nash, James MacDonald, Dessie Flynn"
The New Neighbor,38%,Animación,7min,,Jack Hannah,(1953),", Clarence Nash, Billy Bletcher"
One Day at Disney,74%  7.0,Documental,59min,APTA,Fritz Mitchell,(2019),", Walt Disney, Sterling K. Brown, Robert A. Iger, Robin Roberts"
A Knight for a Day,38%,Animación,7min,,Jack Hannah,(1946),", Pinto Colvig, Billy Bletcher"
Bambi,80%  7.3 (145k),"Drama, Familia, Animación",1h 10min,APTA,David Hand,(1942),", Donnie Dunagan, Peter Behn, Stan Alexander, Cammie King, Will Wright, Hardie Albright, Ann Gillis, Tim Davis, Sam Edwards, Sterling Holloway, Otis Harlan, Thelma Boardman, Clarence Nash, Marion Darlington"
Bao,44%,Fantasía,8min,APTA,Domee Shi,(2018),", Daniel Kailin, Sindy Lau, Sharmaine Yeoh, Tim Zhang"
Bearly Asleep,38%,Animación,7min,,Jack Hannah,(1955),", Clarence Nash, James MacDonald"
Beezy Bear,39%,Animación,7min,,Jack Hannah,(1955),", Clarence Nash, James MacDonald, Bill Thompson"
Canine Caddy,39%,Animación,7min,,Clyde Geronimi,(1941),", Pinto Colvig, Walt Disney"
Chef Donald,40%,Animación,7min,,Jack King,(1941),", Clarence Nash"
Grand Canyonscope,37%,Animación,7min,,Charles A. Nichols,(1954),", Clarence Nash, Bill Thompson"
How to Swim,39%,Animación,7min,,Jack Kinney,(1942),", George Johnson, John McLeish"
Into the Grand Canyon,79%  7.2,Documental,1h 24min,,"Peter McBride ,  Kevin Fedarko",(2019),", Kevin Fedarko, Peter McBride"
Kitbull,46%,"Familia, Drama, Animación",9min,,Rosana Sullivan,(2019),
Lou,71%  6.5,Drama,1h 26min,,Belinda Chayko,(2010),", John Hurt, Emily Barclay, Lily Bell Tindley, Jay Ryan"
Mickey Down Under,35%,"Familia, Animación",7min,,Charles A. Nichols,(1948),", James MacDonald, Pinto Colvig"
One Man Band,31%  5.4,Animación,11min,,Bob Godfrey,(1965),", Bruce Lacey"
Piper,47%,Animación,7min,,Alan Barillaro,(2016),
Pluto and the Gopher,39%,"Animación, Familia",7min,,Charles A. Nichols,(1950),", Pinto Colvig"
Presto,45%,Animación,5min,,Doug Sweetland,(2008),", Doug Sweetland"
Rescue Dog,37%,Animación,7min,,Charles A. Nichols,(1947),", Pinto Colvig"
Smash and Grab,40%,"Animación, Ciencia ficción",7min,,Brian Larsen,(2019),", Kenny Pickett"
The Goddess of Spring,34%,"Animación, Música",10min,,Wilfred Jackson,(1934),", Diana Gaylen, Kenny Baker, Tudor Williams, Jessica Dragonette, Purv Pullen"
The Olympic Champ,39%,Animación,7min,,Jack Kinney,(1942),", George Johnson, John McLeish"
The Pied Piper,67%  6.4,"Fantasía, Drama",1h 30min,,Jacques Demy,(1972),", Donovan, Diana Dors, Donald Pleasence, Roy Kinnear, John Hurt, Michael Hordern, Jack Wild, Peter Vaughan, Keith Buckley, Cathryn Harrison, Peter Eyre, David Leland, Patsy Puttnam, Arthur Hewlett, Michael Goldie, André van Gyseghem, John Falconer, Clive Elliot, Sammie Winmill, John Welsh, David Nettheim, Gertan Klauber, Hamilton Dyce, Roger Hammond, Edwin Brown, George Cormack, Mary MacLeod, Harry Fielder, Sacha Puttnam, Fred Wood"
Three Days,70%  6.8 (1k),"Fantasía, Drama, Familia",1h 31min,,Michael Switzer,(2001),", Kristin Davis, Reed Diamond, Tim Meadows, Danielle Brett, Alexa Gilmour"
Trailer Horn,37%,Animación,6min,,Jack Hannah,(1950),", Clarence Nash, James MacDonald, Dessie Flynn"
Winter Storage,39%,"Familia, Animación, Comedia",7min,,Jack Hannah,(1949),", Clarence Nash, James MacDonald, Dessie Flynn"
Silent Night,66%  5.7 (15k),"Terror, Ciencia ficción, Drama, Crimen, Comedia",1h 32min,16,Camille Griffin,(2021),", Keira Knightley, Matthew Goode, Roman Griffin Davis, Annabelle Wallis, Lily-Rose Depp, Lucy Punch, Sope Dirisu, Kirby Howell-Baptiste, Rufus Jones, Davida McKenzie, Hardy Griffin Davis, Gilby Griffin Davis, Trudie Styler, Holly Aird, Dora Davis, Simon Prince, Kate Prince, Rosamund McManus, Amy McManus"
Gaia,65%  5.6 (5k),"Terror, Fantasía, Drama",1h 37min,,Jaco Bouwer,(2021),", Monique Rockman, Carel Nel, Alex van Dyk, Anthony Oseyemi"
Settlers,36%  7.4,Documental,1h 5min,,,(2003),
Dream Horse,77%  6.9 (5k),"Drama, Deporte, Comedia",1h 53min,7,Euros Lyn,(2021),", Toni Collette, Owen Teale, Damian Lewis, Karl Johnson, Siân Phillips, Joanna Page, Alan David, Lynda Baron, Steffan Rhodri, Anthony O'Donnell, Di Botcher, Darren Evans, Nicholas Farrell, Peter Davison, Rhys ap William, Carwyn Glyn, Brian Doherty, Asheq Akhtar, Aneirin Hughes, Benji Wild, Rekha John-Cheriyan, Max Hutchinson, Alex Jordan, Adam Sopp, Raj Paul, Gerald Royston Horler, Rhys Horler, Katrina Ward, Katherine Jenkins, Clare Balding"
Censor,66%  6.0 (16k),Terror,1h 24min,,Prano Bailey-Bond,(2021),", Niamh Algar, Michael Smiley, Nicholas Burns, Vincent Franklin, Sophia La Porta, Adrian Schiller, Clare Holman, Andrew Havill, Felicity Montagu, Danny Lee Wynter, Clare Perkins, Guillaume Delaunay, Richard Glover, Erin Shanagher, Beau Gadsdon, Amelie Child-Villiers, Matthew Earley, Richard Renton, Bo Bragason, Amelia Craighill, Madeleine Hutchins, Robert Vernon, Lucy Mizen, Joanne Gale, Clare Noy, Louise Hadley, Lisa Ronaghan, Francesca Renée Reid, Albie Marber, Chris Dale, Guy Slocombe, Garry Molyneux, Sean Buchanan, Emma Eckton, John Ward, Joe Walker, Peter Pedrero, Alice Eadson, Sam Goodland, Charlie Langridge, Emile James, Sharon Taylor, Prano Bailey-Bond, Jonathan Rushby-Taylor"
Out of Death,52%  3.3 (5k),"Acción & Aventura, Misterio & Suspense, Crimen",1h 35min,16,Mike Burns,(2021),", Jaime King, Bruce Willis, Lala Kent, Tyler Jon Olson, Kelly Greyson, Michael Sirow, Megan Leonard, Kayla Eva, Oliver Trevena, Kendyll Legier, Lauren McCord, Adam Huel Potter, Keagan Lasater"
CHIPS,68%  6.0 (48k),"Acción & Aventura, Comedia, Crimen",1h 40min,16,Dax Shepard,(2017),", Michael Peña, Dax Shepard, Jessica McNamee, Rosa Salazar, Adam Brody, Ryan Hansen, Maya Rudolph, Adam Rodríguez, Justin Chatwin, Vincent D'Onofrio, Kristen Bell, Ben Falcone, Jane Kaczmarek, Richard T. Jones, Jackie Tohn, Mara Marini, Vida Guerra, Arturo del Puerto, Aly Mawji, Rene Moran, Carly Hatter, John Duff, Kelly Richardson, Clay Cullen, Jess Rowland, Cameron Cruz, Jamie Bock, Becky Feldman, Monica Padman, Isiah Whitlock Jr., Mae Whitman, Morgan Krantz, Josh Duhamel, Erik Estrada, Cody Banta, David Koechner, Phillip Marshall Tyler, Caitlin Rice, Megalyn Echikunwoke, Merrin Dungey"
Gunda,76%  7.1 (2k),Documental,1h 33min,,Viktor Kossakovsky,(2021),
Jacinta,82%  7.4,Documental,1h 45min,,Jessica Earnshaw,(2021),
The Program,70%  6.5 (18k),"Drama, Deporte, Europeas",1h 43min,7,Stephen Frears,(2015),", Ben Foster, Chris O'Dowd, Guillaume Canet, Jesse Plemons, Lee Pace, Denis Ménochet, Edward Hogg, Dustin Hoffman, Elaine Cassidy, Laura Donnelly, Peter Wight, Nathan Wiley, Chris Larkin, Mark Little, Michael G. Wilson, Sid Phoenix, Josh O'Connor, Sam Hoare, James Harkness, Saskia Reeves, Chloe Hayward, Adam LeFevre, Brent Langdon, J.D. Evermore, Nicolas Robin, Julien Vialon, Chiké Okonkwo, Daniel Stewart, Yves Aubert, Paul Kelleher, Philippe Smolikowski, Lucien Guignard, John Schwab, David Bertrand, Christy Meyer"
Unfaithful,74%  6.7 (91k),"Misterio & Suspense, Drama, Romance",1h 58min,,Adrian Lyne,(2002),", Richard Gere, Diane Lane, Olivier Martinez, Erik Per Sullivan, Zeljko Ivanek, Dominic Chianese, Kate Burton, Chad Lowe, Gary Basaraba, Myra Lucretia Taylor, Michelle Monaghan, Margaret Colin, Lisa Emery, Michael Emerson, Geoffrey Nauffts, Joseph Badalucco Jr., Erich Anderson, Damon Gupton, Marc Forget, Larry Gleason, George F. Miller, Paul D. Failla, Hal Smith-Reynolds, Tyree Michael Simpson, Liza Colón-Zayas, Al Cayne, Murielle Arden, Salem Ludwig, William Abadie, Matthew Maitland, Charles Glaser, Anne Pitoniak, Frederikke Borge, Russell Gibson, Maria Gelardi, Leslie Shenkel, Sophia Wu, James Bruce-Gardyne"
